unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,TOTAL,T,ITG2	1634026 	1635648 	1639766 	1642583 	1641347 	1641681 	1637846 	1640379 	1663859 	1663286 	1658138 	1653135 
NR,TOTAL,T,ITH1	479354 	484280 	490035 	494559 	498315 	501815 	504708 	509626 	515714 	518518 	520891 	524256 
NR,TOTAL,T,ITH2	498537 	503147 	509109 	514881 	518796 	522486 	524877 	530308 	536237 	537416 	538223 	538604 
NR,TOTAL,T,ITH3	4701951 	4728911 	4783323 	4827619 	4841933 	4851958 	4853657 	4881756 	4926818 	4927596 	4915123 	4907529 
NR,TOTAL,T,ITH4	1201522 	1205593 	1214346 	1221392 	1221569 	1220849 	1217780 	1221860 	1229363 	1227122 	1221218 	1217872 
NR,TOTAL,T,ITH5	4146766 	4175075 	4222551 	4277139 	4306684 	4331343 	4341240 	4377487 	4446354 	4450508 	4448146 	4448841 
NR,TOTAL,T,ITI1	3570259 	3581920 	3615187 	3641389 	3657340 	3668948 	3667780 	3692828 	3750511 	3752654 	3744398 	3742437 
NR,TOTAL,T,ITI2	853259 	856151 	866930 	875261 	880202 	884010 	883215 	886239 	896742 	894762 	891181 	888908 
NR,TOTAL,T,ITI3	1499237 	1504727 	1521242 	1536302 	1540272 	1541950 	1540688 	1545155 	1553138 	1550796 	1543752 	1538055 
NR,TOTAL,T,ITI4	5246505 	5277633 	5342587 	5401837 	5442963 	5481572 	5500022 	5557276 	5870451 	5892425 	5888472 	5898124 
NR,TOTAL,T,LI00	34905 	35168 	35356 	35589 	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 
NR,TOTAL,T,LT00	3289835 	3249983 	3212605 	3183856 	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 
NR,TOTAL,T,LU00	469086 	476187 	483799 	493500 	502066 	511840 	524853 	537039 	549680 	562958 	576249 	590667 b
