unit;hazard;wst_oper;waste;geo\time;2016;2014;2012;2010;2008;2006;2004
T;HAZ_NHAZ;RCV_E;TOTAL;EU28;129100000 s;107940000;101390000;87840000;81330000;72120000;70450000
T;HAZ_NHAZ;RCV_E;TOTAL;FI;5688462;4485159;10317071;9847135;9630933;9088258;9323847
T;HAZ_NHAZ;RCV_E;TOTAL;FR;16505456 p;13383547;11637038;12202406;12055870;10385420;15108000 s
T;HAZ_NHAZ;RCV_E;TOTAL;HR;35528;48843;39412;110067;320915;1957;163985
T;HAZ_NHAZ;RCV_E;TOTAL;HU;1032554;1222780;960406;859331;766545;571549;285045
T;HAZ_NHAZ;RCV_E;TOTAL;IE;559136;721092;403049;167689;103690;141713;168553
T;HAZ_NHAZ;RCV_E;TOTAL;IS;695;3819 b;14246;17189;22362;: ;17000
T;HAZ_NHAZ;RCV_E;TOTAL;IT;5503166;2598814;2593019;2372758;2459014;2633122;2640544
T;HAZ_NHAZ;RCV_E;TOTAL;LT;277687;186127;105545;110821;194077;169827;161637
T;HAZ_NHAZ;RCV_E;TOTAL;LU;238787;210212;36142;31630;38344;: c;53660
T;HAZ_NHAZ;RCV_E;TOTAL;LV;124961;169798;152847;63461;18264;11230;31478
T;HAZ_NHAZ;RCV_E;TOTAL;ME;2199;1392;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_E;TOTAL;MK;: ;112;19322;30;100;: ;: 
T;HAZ_NHAZ;RCV_E;TOTAL;MT;0;0;0;0;0;0;0
T;HAZ_NHAZ;RCV_E;TOTAL;NL;10567736;10258157;9022998;5517622;1668319;1505669;519659
T;HAZ_NHAZ;RCV_E;TOTAL;NO;3725386;3244689;4270918;1280454;2090892;1896209;1169029
T;HAZ_NHAZ;RCV_E;TOTAL;PL;5412060;5012702;3566578;3804481;3121752;2381797;3978965
T;HAZ_NHAZ;RCV_E;TOTAL;PT;1170911;310979;1734922;1791077;1545807;1692411;2614150
T;HAZ_NHAZ;RCV_E;TOTAL;RO;2480323;2161887;1647589;1543628;1333230;1316853;888800
T;HAZ_NHAZ;RCV_E;TOTAL;RS;84943;55633;49021;26698;: ;: ;: 
T;HAZ_NHAZ;RCV_E;TOTAL;SE;9062161;7617027;6711785;6261041;8411250;10221594;9375147
T;HAZ_NHAZ;RCV_E;TOTAL;SI;231365;268937;326157;282493;313752;421086;391788
T;HAZ_NHAZ;RCV_E;TOTAL;SK;557782;313086;270205;255085;586362;259735;526080
T;HAZ_NHAZ;RCV_E;TOTAL;TR;801024;565532;440023;119117;142677;0;0
T;HAZ_NHAZ;RCV_E;TOTAL;UK;7331068;1937877;1584683;797767;170888;54245;4224160
T;HAZ_NHAZ;RCV_R;TOTAL;AL;: ;265439;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;AT;22198093;18704932;14286481;12186266;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;BE;33449897;33037345;31870399;24106924;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;BG;6058119;3560458;1788520;1922353;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;CY;203853;122846;141113;314613;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;CZ;11343799;9552414;8420104;7389484;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;DE;163716974;158205269;152807322;150504040;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;DK;9791108;10347151;7705564;7778942;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;EE;4285211;4150328;7903007;2569221;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;EL;: ;2174842;2927926;5307567;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;ES;39581445;37298137;48745406;74575394;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;EU28;871710000 s;846250000;840820000;843690000;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;FI;9271982;12854027;31700341;29099941;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;FR;167787096 p;160490841;151724096;159002410;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;HR;1737247;1575232;994143;403242;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;HU;7558552;6467831;4636508;4706707;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;IE;1242785;1268031;826823;1288699;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;IS;242817;228185 b;343933;319182;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;IT;107348228;99397493;98808500;92699517;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;LT;1608186;1171328;999034;1062396;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;LU;3934231;3694650;4690649;6072387;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;LV;1316595;1077276;807758;312398;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;ME;8016;9804;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;MK;: ;159;67533;330588;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;MT;281209;518629;117817;119485;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;NL;63770231;59257658;59880430;57964213;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;NO;4693196;4460808;4303440;2516879;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;PL;75229503;92126196;80940971;76839519;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;PT;4203815;5468794;4598295;4819912;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;RO;7070091;6554814;7677626;7359461;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;RS;1353801;1285494;793258;565311;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;SE;16471650;15179093;18732360;15794637;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;SI;2897570;2817796;2965100;2470137;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;SK;3172657;2901858;2650771;3559221;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;TR;33166436;23013898;307466791;8615182;: ;: ;: 
T;HAZ_NHAZ;RCV_R;TOTAL;UK;104002725;96270453;91469595;93458966;: ;: ;: 
T;HAZ_NHAZ;RCV_R_B;TOTAL;AL;: ;265439;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_R_B;TOTAL;AT;28824304;29538788;26741675;14981602;32149552;29878589;36390005
T;HAZ_NHAZ;RCV_R_B;TOTAL;BE;33449897;33037345;31870399;24106924;17345118;23140966;: c
T;HAZ_NHAZ;RCV_R_B;TOTAL;BG;6058119;3560458;1788520;1922353;2700060;1987322;2122183
T;HAZ_NHAZ;RCV_R_B;TOTAL;CY;750066;593704;388821;1380904;744953;182019;299637
T;HAZ_NHAZ;RCV_R_B;TOTAL;CZ;17995558;15337371;13556985;13219721;13441911;11353808;15735403
T;HAZ_NHAZ;RCV_R_B;TOTAL;DE;265646945;252158489;244276134;241563259;255336958;251113111;213717282
T;HAZ_NHAZ;RCV_R_B;TOTAL;DK;9791108;10347151;7705564;7778942;10282534;10787222;8761855
T;HAZ_NHAZ;RCV_R_B;TOTAL;EE;6506160;6613238;12098781;5955650;5455924;6207711;3603991
T;HAZ_NHAZ;RCV_R_B;TOTAL;EL;: ;7609093;8368133;11722265;5250963;10527323;3393770
T;HAZ_NHAZ;RCV_R_B;TOTAL;ES;45622060;50319456;56939199;80288909;70354532;42288921;30916058
T;HAZ_NHAZ;RCV_R_B;TOTAL;EU28;1105850000 s;1083140000;1064750000;1059220000;1087460000;1028920000;889770000
T;HAZ_NHAZ;RCV_R_B;TOTAL;FI;9271982;12854027;31700341;31998572;22855427;18590369;17276282
T;HAZ_NHAZ;RCV_R_B;TOTAL;FR;199331336;192494192;191314823;200677448;194549002;175796985 s;174161057 s
T;HAZ_NHAZ;RCV_R_B;TOTAL;HR;1886083;1643786;1036374;403242;383835;657751;422167
T;HAZ_NHAZ;RCV_R_B;TOTAL;HU;8068726;6973886;5072018;5125324;5440040;3216895;2212102
T;HAZ_NHAZ;RCV_R_B;TOTAL;IE;6654811;4999172;2811788;3356440;10415485;15462353;11617843
T;HAZ_NHAZ;RCV_R_B;TOTAL;IS;790720;601134;346824;321016;441730;: ;82700
T;HAZ_NHAZ;RCV_R_B;TOTAL;IT;107487175;99714421;98968790;93036713;87826097;75632616;57167374
T;HAZ_NHAZ;RCV_R_B;TOTAL;LT;1807574;1284692;1065147;1062396;1361310;1211591;1030870
T;HAZ_NHAZ;RCV_R_B;TOTAL;LU;6671375;5057422;6624863;6163387;5311371;6429056;5363409
T;HAZ_NHAZ;RCV_R_B;TOTAL;LV;1337466;1094358;807758;312398;646239;455855;303627
T;HAZ_NHAZ;RCV_R_B;TOTAL;ME;8016;10174;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_R_B;TOTAL;MK;: ;159;67533;330588;322550;: ;: 
T;HAZ_NHAZ;RCV_R_B;TOTAL;MT;1214389;1103369;551707;176954;176159;144593;50605
T;HAZ_NHAZ;RCV_R_B;TOTAL;NL;63770231;59257658;59880430;57964213;66692585;61770469;57142955
T;HAZ_NHAZ;RCV_R_B;TOTAL;NO;5035940;4901532;4446057;2565887;4541615;4103995;2683076
T;HAZ_NHAZ;RCV_R_B;TOTAL;PL;111383892;131267418;116044432;109694779;106245911;137846646;97561003
T;HAZ_NHAZ;RCV_R_B;TOTAL;PT;5123675;5468794;4598295;4819912;4584414;8348498;10139325
T;HAZ_NHAZ;RCV_R_B;TOTAL;RO;7837525;7584057;8714402;7521694;8171505;4668368;6544500
T;HAZ_NHAZ;RCV_R_B;TOTAL;RS;1721789;1285494;793258;565311;: ;: ;: 
T;HAZ_NHAZ;RCV_R_B;TOTAL;SE;23188834;17711585;19506447;16587093;9817659;15199944;13065467
T;HAZ_NHAZ;RCV_R_B;TOTAL;SI;4208063;4642292;4067433;3884622;3039793;2013964;2951002
T;HAZ_NHAZ;RCV_R_B;TOTAL;SK;3544967;2901858;2650771;3559221;3874782;5075053;6565340
T;HAZ_NHAZ;RCV_R_B;TOTAL;TR;: ;: ;: ;: ;14626644;1464412;9623081
T;HAZ_NHAZ;RCV_R_B;TOTAL;UK;120812717;117970988;105599508;109952213;143007631;108936814;85734543
