phenomenon,unit,geo_nuts,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
RCV_E,THS_T,PT20,0.006,0,0,0.02,0,0,0,0,0,0,0,0,,
RCV_E,THS_T,PT30,97.365,105.675,115.276,123.93,123.95,123.69,122.42,123.5,119.65,116.71,110.11,29.21,,
RCV_E,THS_T,RO,,88.78,46.56,20.66,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO11,,8.25,1,1.32,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO12,,11.71,2.3,1.68,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO21,,1.67,0.31,0.29,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO22,,0.64,0.5,0.21,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO31,,10.85,4.03,2.94,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO32,,0.04,10.86,8.48,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO41,,11.59,2.89,2.16,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RO42,,44.03,24.67,3.58,,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,RS,0,0,0,0,0,0,0,0,,,,,,
RCV_E,THS_T,SI,3.48,8.64,11.07,9.09,13.97,12.69,0.29,0.52,1.27,15.32,5.06,4.77,,
RCV_E,THS_T,SI01,2.62,8.48,5.36,2.9,4.58,2.2,0.22,0.27,0.15,2.66,0.42,0.15,,
RCV_E,THS_T,SI02,0.86,0.16,5.71,6.19,9.39,10.49,0.07,0.25,1.12,12.66,4.64,4.62,,
RCV_E,THS_T,SK,173.64,164.08,181.55,170.93,180.11,157.25,115.89,0.23,2.11,116.14,95.5,91.29,,
RCV_E,THS_T,SK01,107.65,113.42,130.19,118.96,117.99,111.68,115.38,0.01,0.01,115.61,94.89,89.59,,
RCV_E,THS_T,SK02,1.8,0.36,0.7,0.18,0.04,0.02,0.03,0.03,0.45,0.08,0.28,0.3,,
RCV_E,THS_T,SK03,0.07,0.14,0.21,0.33,0.13,0.16,0.45,0.15,1.63,0.1,0.2,0.6,,
RCV_E,THS_T,SK04,64.12,50.16,50.45,51.46,61.95,45.39,0.03,0.04,0.02,0.35,0.13,0.8,,
RCV_E,THS_T,TR,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR10,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR21,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR22,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR31,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR32,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR33,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR41,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR42,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR51,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR52,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR61,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR62,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR63,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR71,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR72,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR81,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR82,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR83,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TR90,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRA1,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRA2,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRB1,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRB2,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRC1,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRC2,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,TRC3,,,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,UKC1,,,236.68,149.77,158.94,,,,,,,,,
RCV_E,THS_T,UKC2,,,74.83,111.42,107.11,,,,,,,,,
RCV_E,THS_T,UKD1,,,3.09,0,2.52,,,,,,,,,
RCV_E,THS_T,UKD3,,,91.09,69.07,79.77,,,,,,,,,
RCV_E,THS_T,UKD4,,,1.94,0,0,,,,,,,,,
