wst_oper,unit,geo\time,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
DSP_I_RCV_E,THS_T,BE32,349.21,308.36,305.98,292.29,270.37,242.77,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,BE33,222.74,199.05,198.77,189.04,201.2,203.11,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,BE34,59.76,71.89,72.52,47.12,43.26,41.89,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,BE35,90.17,79.76,80.88,77.11,55.85,61.09,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,CH,: ,: ,2732,2757,2660,2830,2680,2660,2440,2513,2510,2531,2357,2199
DSP_I_RCV_E,THS_T,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I_RCV_E,THS_T,CY00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I_RCV_E,THS_T,CZ,: ,: ,609.84,497.1,372.07,369.19,390.33,392.23,380.35,403.59,401.2,401,357,320
DSP_I_RCV_E,THS_T,DE,9697.3,11781.5,13971.9,14420.6,14603.8,14984.6,15396.8,15582.8,15541.3,16280.9,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE11,2,2,571.8,566,566.8,554.9,560.7,564.5,601.8,616.3,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE12,2.1,2.1,377,376.7,374.7,375.1,378.3,405.6,397.6,411.1,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE13,2.6,2.7,211.3,206.6,205.4,304.7,304.5,312.1,314.4,331.8,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE14,0.8,0.7,211.7,211.7,210.3,203.4,203.4,203.8,204.8,204.2,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE21,733.7,755.9,761,765,771,771,779,784,770,759,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE22,174.3,171,172,175,177,174,173,172,167,166,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE23,172.5,173.8,179,175,176,173,168,170,170,171,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE24,163,170.5,173,177,178,177,181,181,184,184,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE25,289.2,294.2,303,300,302,298,298,302,300,304,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE26,131.7,164.8,184,183,181,180,182,180,177,183,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE27,231.9,283.4,281,279,275,268,267,277,273,272,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE30,0.3,452.5,847.3,859.8,877.4,864.1,891.4,903.4,928,924.2,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE40,249.4,282.9,326.8,347.9,352.1,316.4,373.1,406,463.7,537.8,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE50,0.1,127,128,127.9,132.8,133.2,135.6,166.3,166.6,167.1,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,DE60,488.5,504.9,535,546,563.3,559.4,558.4,544.5,589.7,637.6,: ,: ,: ,: 
